scene,clip_id,rank,action,grip_type,object_name,description
home_kitchen_p1,demo_151,183,pulling,Fixed Hook,refrigerator door,"The right hand engages the top edge of a white refrigerator door covered with magnets. In a kitchen scene with a yellow toaster on top of the fridge and soft indoor lighting, the hand curls the fingers over the edge. It pulls the door outward using a hooked finger grip, then contact eases as the door swings open and the hand withdraws."
office_ml_p2,demo_048,182,picking up,Light Tool,aerosol spray can with pistol-grip trigger,"On a white laboratory workbench sits a metal aerosol can with a blue and yellow label fitted with a black plastic pistol-grip trigger. The right hand approaches and wraps around the handle, clamping near the index/thenar region. Pressure peaks as the grip secures and the can is lifted off the table, then decreases as the object is carried away from the surface."
office_ml_p2,demo_147,179,switching on,Tip Pinch,power strip rocker switch,"A long black plastic power strip rests on a carpeted office floor near a chair and desk leg. At one end is a small rocker with an adjacent green indicator light. The right hand reaches to the end, using the fingertip to toggle the rocker and increase pressure briefly as it actuates the switch. After the press, the green LED illuminates and the hand releases contact."
sports_dicks_p1,demo_016,173,,,,
grocery_target_p3,demo_100,169,,,,
office_csail_p1,demo_050,162,removing,Small Diameter,soda can,"A red aluminum soda can in the door rack of a mini refrigerator is targeted. In a dim office-like room lit by the fridge’s warm interior light, the right hand reaches to the top can among several stacked in the bin. The hand closes around the small cylinder and pulls it up and out of the holder, with peak force at the thumb and index during extraction. Contact relaxes as the can clears the rack and is brought away from the fridge."
office_ml_p1,demo_032,154,pressing,Index Finger Extension,hand sanitizer pump bottle,"A small white plastic pump dispenser sits on a white office desk amid cables, a docking hub, tissue boxes, and a monitor below a wall whiteboard. The right hand approaches and positions over the pump head. It then uses an extended index finger to press the plunger straight down, with pressure concentrated at the fingertip, before releasing and withdrawing."
fablab_ml_p2,demo_91,150,,,,
hardware_homedepot_p2,demo_010,141,pushing,Medium Wrap,shopping cart handle,"The right hand engages an orange tubular handle on the front of a metal shopping cart. The scene is a hardware store aisle with tall orange shelving, stacked building materials, and bright overhead lighting on a concrete floor. The hand wraps the cylindrical bar and increases pressure to drive the cart forward, then contact eases as the cart is steered and movement pauses."
office_ml_p2,demo_147,139,switching on,Tip Pinch,power strip rocker switch,"A long black plastic power strip rests on a carpeted office floor near a chair and desk leg. At one end is a small rocker with an adjacent green indicator light. The right hand reaches to the end, using the fingertip to toggle the rocker and increase pressure briefly as it actuates the switch. After the press, the green LED illuminates and the hand releases contact."
home_kitchen_p2,demo_13,137,,,,
hardware_homedepot_p5,demo_163,136,picking up,Prismatic 2 Finger,wooden slatted crate,"A small unfinished wooden crate with four light pine slats is in front of a shelf stocked with plastic storage bins in a store aisle under bright overhead lighting. The right hand reaches to the right edge of the crate and pinches the side rail with the thumb and index to initiate a lift. Contact pressure increases as the crate is raised from the surface, then decreases as the object is stabilized and repositioned."
office_csail_p2,demo_049,135,pulling,Fixed Hook,desk drawer handle,"A small silver D-shaped drawer pull on a light gray under-desk cabinet is targeted by the right hand. In an office setting with a rolling chair and carpeted floor, the hand approaches the pull and then hooks the fingers under it. Force increases as the handle is pulled outward to slide the drawer open, after which the hold relaxes while the drawer remains extended."
grocery_target_p3,demo_079,135,,,,
hardware_homedepot_p5,demo_085,134,pushing,Palmar,front-load dryer door,"A metallic gray front‑load dryer with a circular glass porthole and chrome rim sits in a retail aisle with price tags under bright overhead lights. The right hand approaches the open door and makes light contact at the edge. It then plants the palm on the glass and pushes firmly to seat the door closed, with peak pressure centered in the palm. After the latch engages, contact shifts to light fingertips as the hand withdraws."
grocery_plant,demo_03,133,,,,
sports_dicks_p1,demo_074,128,,,,
hardware_homedepot_p1,demo_17,128,,,,
home_kitchen_p1,demo_115,125,placing,Tripod,glass pan lid,"A round glass lid with a stainless rim and a small black knob is taken from the drying area beside an electric coil stove. In the kitchen scene, counters, utensils, and the stovetop are visible under indoor ambient light. The right hand pinches the knob with the thumb and fingertips, lifts the lid, and then sets it onto the stovetop near the pan. Contact peaks at the knob during the lift and relaxes as the lid is placed and released."
office_ml_p1,demo_032,121,pressing,Index Finger Extension,hand sanitizer pump bottle,"A small white plastic pump dispenser sits on a white office desk amid cables, a docking hub, tissue boxes, and a monitor below a wall whiteboard. The right hand approaches and positions over the pump head. It then uses an extended index finger to press the plunger straight down, with pressure concentrated at the fingertip, before releasing and withdrawing."
home_kitchen_p1,demo_115,119,placing,Tripod,glass pan lid,"A round glass lid with a stainless rim and a small black knob is taken from the drying area beside an electric coil stove. In the kitchen scene, counters, utensils, and the stovetop are visible under indoor ambient light. The right hand pinches the knob with the thumb and fingertips, lifts the lid, and then sets it onto the stovetop near the pan. Contact peaks at the knob during the lift and relaxes as the lid is placed and released."
sports_dicks_p1,demo_016,119,,,,
hardware_homedepot_p1,demo_17,116,,,,
grocery_target_p1,demo_063,114,picking up,Prismatic 2 Finger,woven storage basket,"A small tan wicker basket with a rectangular form and woven straw texture sits on a wooden retail shelf among other home goods. Under bright store lighting with price rails and mirrors in the background, the right hand reaches to the basket’s rim. It pinches the edge between thumb and finger to pull the basket forward and lift it from the shelf, then the contact eases as the basket is held out from the cubby."
grocery_target_p1,demo_074,114,grasping,Small Diameter,copper pan,"On a retail shelf, the right hand reaches to a copper-colored pan with a narrow gold-toned handle and a hanging tag. In the bright store environment with metal shelving and a shopping cart nearby, the fingers wrap around the slim handle. Pressure peaks as the handle is drawn slightly outward for inspection, then the grip relaxes and the pan is released back on the shelf."
grocery_plant,demo_09,113,,,,
office_ml_p1,demo_032,107,pressing,Index Finger Extension,hand sanitizer pump bottle,"A small white plastic pump dispenser sits on a white office desk amid cables, a docking hub, tissue boxes, and a monitor below a wall whiteboard. The right hand approaches and positions over the pump head. It then uses an extended index finger to press the plunger straight down, with pressure concentrated at the fingertip, before releasing and withdrawing."
home_kitchen_p1,demo_000,101,pressing,Index Finger Extension,microwave control panel button,"A stainless microwave with a mirrored door and vertical keypad is seen on a rack in a kitchen with wood flooring and ambient indoor light. The right hand extends the index finger to the plastic control panel, pressing a key with concentrated fingertip contact. The finger moves across the pad to enter time, and the display changes to 3:00 as pressure lessens and the finger withdraws."
hardware_homedepot_p4,demo_90,101,,,,
sports_dicks_p1,demo_074,90,,,,
eat_mcdonalds,demo_12,90,,,,
fablab_ml_p1,demo_49,89,,,,
office_csail_p2,demo_096,88,spraying,Index Finger Extension,aerosol spray can with red straw,"A white metal aerosol can with a black actuator and an attached red straw is held near the top. The scene is a lab-like workspace with wooden benches, electronics on a desk, and warm indoor lighting. The right hand wraps the cylinder while the index finger presses the nozzle to produce a spray, causing contact to peak at the index. After the burst, the grip eases and the can is lifted away from the work surface."
grocery_target_p3,demo_100,87,,,,
hardware_homedepot_p5,demo_085,85,pushing,Palmar,front-load dryer door,"A metallic gray front‑load dryer with a circular glass porthole and chrome rim sits in a retail aisle with price tags under bright overhead lights. The right hand approaches the open door and makes light contact at the edge. It then plants the palm on the glass and pushes firmly to seat the door closed, with peak pressure centered in the palm. After the latch engages, contact shifts to light fingertips as the hand withdraws."
office_csail_p2,demo_096,84,spraying,Index Finger Extension,aerosol spray can with red straw,"A white metal aerosol can with a black actuator and an attached red straw is held near the top. The scene is a lab-like workspace with wooden benches, electronics on a desk, and warm indoor lighting. The right hand wraps the cylinder while the index finger presses the nozzle to produce a spray, causing contact to peak at the index. After the burst, the grip eases and the can is lifted away from the work surface."
grocery_target_p3,demo_180,79,,,,
grocery_target_p3,demo_206,78,,,,
office_ml_p1,demo_233,78,switching on,Index Finger Extension,slim LED flashlight,"A slim rectangular LED flashlight with a small green indicator sits on a white desktop. The scene appears to be an office workspace with papers, cables, and shelving under indoor lighting. The right hand approaches and uses an extended index finger to press the flashlight’s button, with peak contact at the fingertip. After the light activates, pressure eases as the hand withdraws."
hardware_homedepot_p5,demo_075,78,pushing,Index Finger Extension,oven rack,"A chrome wire oven rack inside a black enameled oven cavity is being manipulated. In a kitchen with blue cabinets and a stainless control panel, the right hand reaches into the open oven and contacts the front bar of the rack. The extended index finger applies focused pressure to push the rack deeper along its rails, then contact lightens and spreads across the fingertips as the hand releases and withdraws."
grocery_target_p2,demo_16,76,,,,
grocery_plant,demo_03,76,,,,
office_ml_p1,demo_032,75,pressing,Index Finger Extension,hand sanitizer pump bottle,"A small white plastic pump dispenser sits on a white office desk amid cables, a docking hub, tissue boxes, and a monitor below a wall whiteboard. The right hand approaches and positions over the pump head. It then uses an extended index finger to press the plunger straight down, with pressure concentrated at the fingertip, before releasing and withdrawing."
sports_dicks_p1,demo_060,75,,,,
sports_dicks_p1,demo_098,74,,,,
hardware_homedepot_p3,demo_019,73,pulling,Small Diameter,glass door handle,"A slim white handle on the edge of a glass door panel is grasped in a hardware store aisle with concrete flooring and shelves of door displays under bright overhead lights. The right hand encloses the small handle and draws the door toward the body to open it. Pressure concentrates on the fingertips during the pull, then lessens as the door swings open and the hand begins to release."
office_ml_p2,demo_014,73,plugging in,Prismatic 3 Finger,wall power plug,"A small white rectangular power plug is aligned with a wall outlet on a light-colored wall. The setting appears to be an office workspace with long white desks, multiple monitors, and overhead fluorescent lighting. The right hand pinches the plug body between thumb and fingers, presses it firmly into the outlet at peak force, and then releases contact after seating the plug."
grocery_target_p2,demo_16,71,,,,
sports_dicks_p1,demo_016,71,,,,
hardware_homedepot_p5,demo_134,71,pulling,Medium Wrap,refrigerator door handle,"A stainless steel side-by-side refrigerator with an in-door water/ice dispenser is displayed on a showroom floor with price signage. The right hand encloses the tall vertical metal handle and pulls it toward the body to swing the door open, revealing the white interior shelves. Contact concentrates on the fingertips and thumb during the pull, then eases as the door reaches an open position and the hand begins to release."
grocery_target_p3,demo_204,71,,,,
fablab_ml_p1,demo_49,69,,,,
office_ml_p1,demo_262,69,switching on,Index Finger Extension,desk lamp switch,"At a white office desk with a monitor and a closed black laptop, a black articulating desk lamp sits near the center. The right hand reaches to the lamp and targets the small power control on the lamp, making contact mainly with the tip of the index finger. Pressure peaks as the switch is pressed to toggle the light, then contact eases as the finger lifts away."
home_kitchen_p1,demo_000,68,pressing,Index Finger Extension,microwave control panel button,"A stainless microwave with a mirrored door and vertical keypad is seen on a rack in a kitchen with wood flooring and ambient indoor light. The right hand extends the index finger to the plastic control panel, pressing a key with concentrated fingertip contact. The finger moves across the pad to enter time, and the display changes to 3:00 as pressure lessens and the finger withdraws."
grocery_target_p3,demo_206,68,,,,
grocery_target_p3,demo_206,67,,,,
home_kitchen_p2,demo_13,66,,,,
grocery_target_p3,demo_034,66,,,,
hardware_homedepot_p2,demo_010,66,pushing,Medium Wrap,shopping cart handle,"The right hand engages an orange tubular handle on the front of a metal shopping cart. The scene is a hardware store aisle with tall orange shelving, stacked building materials, and bright overhead lighting on a concrete floor. The hand wraps the cylindrical bar and increases pressure to drive the cart forward, then contact eases as the cart is steered and movement pauses."
office_ml_p1,demo_028,66,pressing,Palmar,black bi-fold wallet,"A small black bi-fold wallet sits on a white tablet surface on an office desk beside a monitor, tissues, and cables under dim indoor light. The right hand settles over the wallet with a broad, flat contact. Pressure increases as the palm presses down to flatten or close it, then the hand eases off while maintaining light contact."
hardware_homedepot_p1,demo_21,66,,,,
office_ml_p2,demo_043,66,pressing,Index Finger Extension,power button on black electronic unit,"On a white lab bench sits a black rectangular electronic device with a small round button on its edge. The right hand reaches toward this control and extends the index finger to press the button firmly. After activation, the finger lifts off and the hand withdraws. The scene is an indoor technical workspace with parts drawers and containers under overhead lighting."
sports_dicks_p2,demo_025,65,,,,
office_ml_p1,demo_195,65,twisting,Prismatic 3 Finger,Rubik's Cube puzzle,"A small multicolored 3x3 puzzle cube made of plastic is held near the edge of a white office desk beside a monitor and other desk items. The right hand positions the cube and then applies fingertip pressure with the thumb opposed to the index and middle to twist one face. After the turn, contact lightens while still stabilizing the cube."
sports_dicks_p1,demo_098,64,,,,
sports_dicks_p2,demo_051,64,,,,
home_kitchen_p1,demo_000,63,pressing,Index Finger Extension,microwave control panel button,"A stainless microwave with a mirrored door and vertical keypad is seen on a rack in a kitchen with wood flooring and ambient indoor light. The right hand extends the index finger to the plastic control panel, pressing a key with concentrated fingertip contact. The finger moves across the pad to enter time, and the display changes to 3:00 as pressure lessens and the finger withdraws."
office_csail_p2,demo_044,62,pulling,Prismatic 4 Finger,under-desk keyboard tray,"A gray under‑desk keyboard tray is mounted beneath a light wood desk in an office workspace with a monitor stand, cables, a trash bin, and red carpet below. The right hand reaches to the front lip of the tray, hooks several fingertips under the edge with the thumb opposing, and pulls it outward from under the desk. Contact concentrates on the fingertips during the pull and then eases as the tray slides out."
office_csail_p2,demo_049,62,pulling,Fixed Hook,desk drawer handle,"A small silver D-shaped drawer pull on a light gray under-desk cabinet is targeted by the right hand. In an office setting with a rolling chair and carpeted floor, the hand approaches the pull and then hooks the fingers under it. Force increases as the handle is pulled outward to slide the drawer open, after which the hold relaxes while the drawer remains extended."
grocery_plant,demo_03,61,,,,
office_csail_p2,demo_096,61,spraying,Index Finger Extension,aerosol spray can with red straw,"A white metal aerosol can with a black actuator and an attached red straw is held near the top. The scene is a lab-like workspace with wooden benches, electronics on a desk, and warm indoor lighting. The right hand wraps the cylinder while the index finger presses the nozzle to produce a spray, causing contact to peak at the index. After the burst, the grip eases and the can is lifted away from the work surface."
home_bedroom,demo_134,60,pressing,Tip Pinch,backpack side-release buckle,"The right hand targets a plastic side‑release buckle on the maroon flap of a black fabric backpack lying on a carpeted bedroom floor. Indoor ambient light shows a bed, picture frame, and scattered items nearby. The hand approaches and positions thumb and index on the buckle tabs, then squeezes to actuate the release at peak force. After the buckle is pressed open, contact lightens and the hand withdraws."
sports_dicks_p1,demo_030,60,,,,
hardware_homedepot_p4,demo_17,59,,,,
sports_dicks_p1,demo_074,59,,,,
office_ml_p1,demo_327,59,switching on,Index Finger Extension,wall light switch,"A small white plastic wall switch sits beneath a whiteboard covered with marker writing in a classroom with carpeted floor and chair legs visible. The right hand approaches and extends the index finger to the face of the switch. Pressure peaks as the fingertip pushes the rocker to change its state, then the finger lifts away as contact diminishes."
grocery_target_p1,demo_018,59,holding,Small Diameter,condiment squeeze bottle,"A translucent plastic squeeze bottle with a white flip-top spout is taken from a kitchenware display in a store aisle. Pegboard walls and shelves of utensils and measuring cups are visible under bright overhead lighting. The right hand wraps around the narrow cylindrical body, increasing pressure to secure the grip, then maintains a light hold while repositioning and viewing the item."
grocery_target_p3,demo_180,58,,,,
office_csail_p2,demo_068,58,pulling,Small Diameter,mini refrigerator door handle,"A compact stainless mini fridge with a slim black vertical handle sits beneath a coffee maker and mug in a dim kitchenette. The right hand hooks around the narrow handle and increases force to pull the door open. After the door swings out, contact relaxes and the hand withdraws."
grocery_target_p3,demo_142,57,,,,
grocery_target_p3,demo_206,56,,,,
grocery_target_p1,demo_000,54,pointing,Index Finger Extension,pizza cutter (packaged),"A round metal pizza wheel with a black handle hangs in retail packaging on a pegboard display in a store aisle. Bright overhead lighting illuminates rows of kitchen tools along the wall. The right hand extends the index finger to make contact with the front of the pizza cutter package, briefly indicating or inspecting it with fingertip pressure. Contact peaks at the index tip and then eases as the hand withdraws."
sports_dicks_p1,demo_052,54,,,,
sports_dicks_p2,demo_024,54,,,,
sports_dicks_p1,demo_074,52,,,,
